[2026-03-22T14:24:17+0000] [PACMAN] Running 'pacman -Syu --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64'
[2026-03-22T14:24:54+0000] [ALPM] installed which (2.23-4)
[2026-03-22T14:24:54+0000] [ALPM] installed xz (5.8.2-1)
[2026-03-22T14:24:54+0000] [ALPM] installed zstd (1.5.7-1)
[2026-03-22T14:24:55+0000] [ALPM] installed pacman (6.1.0-22)
[2026-03-22T14:24:55+0000] [ALPM] installed libdb (6.2.32-5)
[2026-03-22T14:24:55+0000] [ALPM] installed db (6.2.32-5)
[2026-03-22T14:24:55+0000] [ALPM] installed libgdbm (1.26-1)
[2026-03-22T14:24:55+0000] [ALPM] installed gdbm (1.26-1)
[2026-03-22T14:24:57+0000] [ALPM] installed perl (5.40.3-1)
[2026-03-22T14:24:57+0000] [ALPM] installed pacman-contrib (1.10.6-1)
[2026-03-22T14:24:57+0000] [ALPM] installed rebase (4.5.0-5)
[2026-03-22T14:24:57+0000] [ALPM] installed tar (1.35-3)
[2026-03-22T14:24:57+0000] [ALPM] installed time (1.9-3)
[2026-03-22T14:25:00+0000] [ALPM] installed tzcode (2026a-1)
[2026-03-22T14:25:00+0000] [ALPM] installed libutil-linux (2.40.2-2)
[2026-03-22T14:25:00+0000] [ALPM] installed util-linux (2.40.2-2)
[2026-03-22T14:25:00+0000] [ALPM] installed wget (1.25.0-1)
[2026-03-22T14:25:00+0000] [ALPM] installed base (2022.06-1)
[2026-03-22T14:25:00+0000] [ALPM] transaction completed
[2026-03-22T14:25:00+0000] [ALPM] running 'texinfo-install.hook'...
